Fecha ;Tempertura Minima (C) 
1/01/1990;7,9
1/02/1990;8,7
1/03/1990;9,7
1/04/1990;10,1
1/05/1990;10,6
1/06/1990;10,3
1/07/1990;9,3
1/08/1990;9,5
1/09/1990;8,9
1/10/1990;8,9
1/11/1990;9,3
1/12/1990;8,8
1/01/1991;7,3
1/02/1991;8,8
1/03/1991;9,5
1/04/1991;9,7
1/05/1991;10,6
1/06/1991;10,3
1/07/1991;10
1/08/1991;9,4
1/09/1991;9,5
1/10/1991;8,8
1/11/1991;8,9
1/12/1991;9,4
1/01/1992;8,1
1/02/1992;9,3
1/03/1992;9,6
1/04/1992;10,4
1/05/1992;9,6
1/06/1992;10,7
1/07/1992;9,9
1/08/1992;9,8
1/09/1992;8,5
1/10/1992;9,1
1/11/1992;9
1/12/1992;9
1/01/1993;8,3
1/02/1993;8,5
1/03/1993;9,1
1/04/1993;9,8
1/05/1993;10,2
1/06/1993;10
1/07/1993;9,7
1/08/1993;9,2
1/09/1993;9,1
1/10/1993;9,2
1/11/1993;9,1
1/12/1993;8,6
1/01/1994;7,9
1/02/1994;8,6
1/03/1994;9,4
1/04/1994;9,8
1/05/1994;9,7
1/06/1994;9,7
1/07/1994;9,4
1/08/1994;9,2
1/09/1994;9,3
1/10/1994;9,2
1/11/1994;8,9
1/12/1994;8,3
1/01/1995;7,3
1/02/1995;8
1/03/1995;9,3
1/04/1995;9,8
1/05/1995;9,5
1/06/1995;9,7
1/07/1995;9,4
1/08/1995;8,5
1/09/1995;8,8
1/10/1995;9
1/11/1995;8,4
1/12/1995;8
1/01/1996;6,8
1/02/1996;9,4
1/03/1996;10,5
1/04/1996;10,6
1/05/1996;9,2
1/06/1996;9,4
1/07/1996;10
1/08/1996;9,8
1/09/1996;8,9
1/10/1996;10,4
1/11/1996;10,7
1/12/1996;9,2
1/01/1997;9,2
1/02/1997;9,9
1/03/1997;9,8
1/04/1997;10,8
1/05/1997;11,2
1/06/1997;11,1
1/07/1997;9,2
1/08/1997;8,9
1/09/1997;10,7
1/10/1997;11,6
1/11/1997;11
1/12/1997;11
1/01/1998;10,3
1/02/1998;9,8
1/03/1998;12,6
1/04/1998;11,6
1/05/1998;11,2
1/06/1998;11,4
1/07/1998;10,4
1/08/1998;10,6
1/09/1998;9,6
1/10/1998;10,7
1/11/1998;10,4
1/12/1998;10,8
1/01/1999;9,4
1/02/1999;9,3
1/03/1999;8,8
1/04/1999;8,9
1/05/1999;9
1/06/1999;9
1/07/1999;8,6
1/08/1999;8,3
1/09/1999;8,3
1/10/1999;8
1/11/1999;8,1
1/12/1999;8,1
1/01/2000;7
1/02/2000;7,5
1/03/2000;8,3
1/04/2000;8,4
1/05/2000;8,9
1/06/2000;9
1/07/2000;8,1
1/08/2000;8,3
1/09/2000;8,2
1/10/2000;8,4
1/11/2000;8,3
1/12/2000;7,4
1/01/2001;6,1
1/02/2001;7,2
1/03/2001;8,5
1/04/2001;9,1
1/05/2001;9
1/06/2001;8,7
1/07/2001;8,4
1/08/2001;9,4
1/09/2001;7,9
1/10/2001;9,1
1/11/2001;8,5
1/12/2001;8,8
1/01/2002;7,2
1/02/2002;8,3
1/03/2002;8,7
1/04/2002;9,5
1/05/2002;9,4
1/06/2002;8,9
1/07/2002;8,9
1/08/2002;10,3
1/09/2002;8,8
1/10/2002;10,9
1/11/2002;11,1
1/12/2002;10,8
1/01/2003;9,3
1/02/2003;9,4
1/03/2003;10,9
1/04/2003;11,2
1/05/2003;10,3
1/06/2003;10,2
1/07/2003;10,3
1/08/2003;9,3
1/09/2003;10,3
1/10/2003;10,6
1/11/2003;10,6
1/12/2003;9,4
1/01/2004;9,3
1/02/2004;10
1/03/2004;11
1/04/2004;11,2
1/05/2004;9,3
1/06/2004;11,4
1/07/2004;8,3
1/08/2004;10,1
1/09/2004;10,2
1/10/2004;8,9
1/11/2004;10,3
1/12/2004;10,4
1/01/2005;9,5
1/02/2005;9,6
1/03/2005;11,1
1/04/2005;12
1/05/2005;10
1/06/2005;11,4
1/07/2005;8,6
1/08/2005;8,9
1/09/2005;8,9
1/10/2005;10,3
1/11/2005;10
1/12/2005;10,2
1/01/2006;9,1
1/02/2006;7,7
1/03/2006;10,1
1/04/2006;11,2
1/05/2006;11,2
1/06/2006;10,8
1/07/2006;10,7
1/08/2006;10,1
1/09/2006;9,1
1/10/2006;10,9
1/11/2006;8,6
1/12/2006;10
1/01/2007;10,5
1/02/2007;8,3
1/03/2007;9,9
1/04/2007;10,6
1/05/2007;11,3
1/06/2007;10,9
1/07/2007;8,6
1/08/2007;9
1/09/2007;8,7
1/10/2007;9,9
1/11/2007;8,5
1/12/2007;10,1
1/01/2008;7,4
1/02/2008;7,9
1/03/2008;8,2
1/04/2008;9,1
1/05/2008;9,3
1/06/2008;9,6
1/07/2008;8,7
1/08/2008;8,4
1/09/2008;8,9
1/10/2008;8,7
1/11/2008;9,1
1/12/2008;8,6
1/01/2009;7,8
1/02/2009;7,4
1/03/2009;8,4
1/04/2009;9,6
1/05/2009;9,5
1/06/2009;9,6
1/07/2009;8,5
1/08/2009;9,5
1/09/2009;9,6
1/10/2009;9,4
1/11/2009;9,7
1/12/2009;8,9
1/01/2010;7,9
1/02/2010;8,8
1/03/2010;9,5
1/04/2010;11,2
1/05/2010;10,7
1/06/2010;9,9
1/07/2010;8,8
1/08/2010;9,2
1/09/2010;8,5
1/10/2010;9,4
1/11/2010;9,3
1/12/2010;8,6
1/01/2011;7,6
1/02/2011;8,4
1/03/2011;8,9
1/04/2011;9,6
1/05/2011;10,1
1/06/2011;10,2
1/07/2011;9,4
1/08/2011;9,4
1/09/2011;9,4
1/10/2011;9,3
1/11/2011;9,6
1/12/2011;9,4
1/01/2012;8,7
1/02/2012;8,6
1/03/2012;9,7
1/04/2012;9,6
1/05/2012;10,3
1/06/2012;10,3
1/07/2012;10
1/08/2012;9,5
1/09/2012;10
1/10/2012;9,7
1/11/2012;9,2
1/12/2012;9,5
1/01/2013;8,6
1/02/2013;9,6
1/03/2013;10,2
1/04/2013;10,6
1/05/2013;10,2
1/06/2013;10,2
1/07/2013;9,4
1/08/2013;9,3
1/09/2013;9,6
1/10/2013;9,5
1/11/2013;9,6
1/12/2013;8,8
1/01/2014;8,3
1/02/2014;9,3
1/03/2014;9,6
1/04/2014;10
1/05/2014;9,9
1/06/2014;10,3
1/07/2014;9,7
1/08/2014;9,1
1/09/2014;9,2
1/10/2014;9,8
1/11/2014;9,7
1/12/2014;8,8
1/01/2015;8,4
1/02/2015;9,8
1/03/2015;9,9
1/04/2015;10,3
1/05/2015;10,5
1/06/2015;10,6
1/07/2015;10,7
1/08/2015;10,3
1/09/2015;10
1/10/2015;10
1/11/2015;10,8
1/12/2015;9,3
1/01/2016;9,5
1/02/2016;10,9
1/03/2016;10
1/04/2016;11,4
1/05/2016;11,2
1/06/2016;11,5
1/07/2016;10,3
1/08/2016;10,2
1/09/2016;10
1/10/2016;10,4
1/11/2016;10,8
1/12/2016;9,4
1/01/2017;8,3
1/02/2017;9,2
1/03/2017;9,7
1/04/2017;10,8
1/05/2017;10,6
1/06/2017;10,3
1/07/2017;10,4
1/08/2017;9,4
1/09/2017;9,4
1/10/2017;9,2
1/11/2017;9,4
1/12/2017;9,3
1/01/2018;8,4
1/02/2018;9,3
1/03/2018;9,8
1/04/2018;10,1
1/05/2018;9,8
1/06/2018;10,4
1/07/2018;10,1
1/08/2018;9,4
1/09/2018;9,5
1/10/2018;9,9
1/11/2018;10,1
1/12/2018;8,6
1/01/2019;8,2
1/02/2019;9,4
1/03/2019;9,7
1/04/2019;10,5
1/05/2019;10,5
1/06/2019;10,6
1/07/2019;9,6
1/08/2019;8,9
1/09/2019;9
1/10/2019;9
1/11/2019;9,6
1/12/2019;9,1
1/01/2020;8,5
1/02/2020;9,1
1/03/2020;10
1/04/2020;10,9
1/05/2020;11,1
1/06/2020;10,7
1/07/2020;10,1
1/08/2020;9,9
1/09/2020;9,2
1/10/2020;10,1
1/11/2020;9,8
1/12/2020;9,4
